,Unnamed: 0_x,2P,2P%,2PA,3P,3P%,3PA,AST,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,Lg,MP,Name,ORB,PF_x,PTS,STL,TOV,TRB,eFG%,3PAr,AST%,BLK%,BPM,DBPM,DRB%,DWS,FTr,OBPM,ORB%,OWS,PER,STL%,TOV%,TRB%,TS%,USG%,VORP,WS,WS/48,Unnamed: 0_y,Position,C,PF_y,PG,SF,SG,nan
0,0,2.4,0.503,4.8,0.0,0.0,0.0,0.3,0.3,2.2,2.4,0.502,4.8,0.9,0.701,1.3,256,53.0,NBA,12.5,Alaa Abdelnaby,1.1,1.9,5.7,0.3,1.0,3.3,0.502,0.002,4.1,1.4,-4.8,-1.5,19.6,4.1,0.26,-3.3,10.0,0.7,13.0,1.1,15.2,14.8,0.532,21.6,-2.3,4.8,0.072,0.0,PF,0.0,1.0,0.0,0.0,0.0,0.0
1,1,3.5,0.428,8.2,,,,1.2,1.0,5.4,3.5,0.428,8.2,2.0,0.728,2.8,505,,NBA,21.8,Zaid Abdul-Aziz,2.4,2.2,9.0,0.6,0.9,8.0,0.428,,7.3,2.5,-0.1,0.9,26.9,11.6,0.338,-1.0,12.1,5.9,15.1,1.3,16.6,18.3,0.479,21.1,2.1,17.5,0.076,1.0,C,1.0,0.0,0.0,0.0,0.0,0.0
2,2,10.2,0.56,18.1,0.0,0.056,0.0,3.6,2.6,7.6,10.2,0.559,18.1,4.3,0.721,6.0,1560,625.0,NBA,36.8,Kareem Abdul-Jabbar,2.4,3.0,24.6,0.9,2.7,11.2,0.559,0.001,14.6,3.8,5.8,2.0,21.7,94.5,0.329,3.8,7.7,178.9,24.6,1.2,13.4,15.7,0.592,24.3,86.0,273.4,0.228,2.0,C,1.0,0.0,0.0,0.0,0.0,0.0
3,3,5.2,0.46,11.3,0.8,0.354,2.3,3.5,0.1,1.5,6.0,0.442,13.6,1.8,0.905,2.0,586,336.0,NBA,26.7,Mahmoud Abdul-Rauf,0.4,1.9,14.6,0.8,1.6,1.9,0.472,0.169,23.0,0.2,-2.2,-3.0,6.2,8.4,0.146,0.8,1.5,16.7,15.4,1.6,10.2,3.8,0.506,25.4,-0.7,25.2,0.077,3.0,PG,0.0,0.0,1.0,0.0,0.0,0.0
4,4,3.0,0.425,7.0,0.1,0.237,0.3,1.1,0.4,2.1,3.1,0.417,7.3,1.6,0.703,2.2,236,145.0,NBA,20.4,Tariq Abdul-Wahad,1.2,2.1,7.8,0.8,1.3,3.3,0.422,0.044,8.8,1.2,-3.2,-0.3,11.2,4.1,0.306,-2.9,6.4,-0.6,11.4,1.9,13.6,8.8,0.467,20.4,-1.5,3.5,0.035,4.0,SG,0.0,0.0,0.0,0.0,1.0,0.0
5,5,6.4,0.48,13.2,0.2,0.297,0.6,2.5,0.8,5.3,6.5,0.472,13.9,4.8,0.81,6.0,830,704.0,NBA,34.8,Shareef Abdur-Rahim,2.3,2.8,18.1,1.0,2.6,7.5,0.479,0.045,13.6,1.6,0.9,-0.2,17.5,21.1,0.429,1.1,7.5,50.1,19.0,1.5,13.5,12.5,0.549,25.0,21.1,71.2,0.118,5.0,PF,0.0,1.0,0.0,0.0,0.0,0.0
6,6,2.3,0.493,4.6,0.0,0.0,0.0,1.2,0.2,2.0,2.3,0.492,4.6,1.0,0.747,1.4,319,,NBA,17.0,Tom Abernethy,1.2,1.6,5.6,0.6,0.5,3.2,0.492,0.001,9.0,0.6,-0.2,0.2,12.3,5.0,0.301,-0.3,7.3,8.4,12.9,1.6,9.3,9.8,0.534,13.7,2.5,13.4,0.118,6.0,SF,0.0,0.0,0.0,1.0,0.0,0.0
7,7,0.0,0.0,2.0,,,,1.0,,,0.0,0.0,2.0,0.0,,0.0,1,,NBA,1.0,Forest Able,,1.0,0.0,,,1.0,0.0,,,,,,,0.0,0.0,,,0.0,-41.1,,,,0.0,,,0.0,-2.062,7.0,nan,0.0,0.0,0.0,0.0,0.0,1.0
8,8,3.6,0.237,15.3,,,,0.7,,,3.6,0.237,15.3,2.3,0.686,3.3,56,,BAA,,John Abramovic,,3.1,9.5,,,,0.237,,,,,,,-0.5,0.216,,,-1.4,,,,,0.285,,,-1.9,,8.0,nan,0.0,0.0,0.0,0.0,0.0,1.0
9,9,0.9,0.388,2.2,0.3,0.32,0.8,0.5,0.1,0.7,1.1,0.37,3.1,0.2,0.5,0.3,30,0.0,NBA,7.8,Alex Acker,0.3,0.4,2.7,0.2,0.4,1.0,0.413,0.272,11.3,1.3,-6.9,-2.3,10.2,0.1,0.109,-4.6,4.3,-0.3,8.5,1.4,10.2,7.2,0.42,21.2,-0.3,-0.2,-0.043,9.0,SG,0.0,0.0,0.0,0.0,1.0,0.0
10,10,0.5,0.222,2.3,,,,0.8,,,0.5,0.222,2.3,0.5,0.536,1.0,28,,NBA,7.9,Don Ackerman,,1.5,1.5,,,0.5,0.222,,,,,,,0.1,0.444,,,-0.7,1.0,,,,0.285,,,-0.6,-0.123,10.0,PG,0.0,0.0,1.0,0.0,0.0,0.0
11,11,1.4,0.505,2.7,0.0,0.538,0.0,0.5,0.3,2.5,1.4,0.506,2.7,0.8,0.665,1.2,375,68.0,NBA,16.0,Mark Acres,1.5,2.5,3.6,0.4,0.6,4.1,0.509,0.013,3.8,1.0,-2.0,0.0,17.6,4.2,0.456,-2.0,10.7,5.1,9.0,1.1,16.2,14.1,0.551,10.0,0.0,9.3,0.075,11.0,C,1.0,0.0,0.0,0.0,0.0,0.0
12,12,1.3,0.392,3.2,,,,0.5,,,1.3,0.392,3.2,0.8,0.655,1.3,23,,NBA,8.5,Bud Acton,,1.5,3.3,,,2.0,0.392,,7.5,,,,,0.2,0.392,,,-0.1,9.5,,,,0.444,,,0.1,0.021,12.0,SF,0.0,0.0,0.0,1.0,0.0,0.0
13,13,5.8,0.498,11.6,0.0,0.133,0.0,4.1,0.8,5.0,5.8,0.498,11.6,2.5,0.788,3.2,988,342.0,NBA,27.5,Alvan Adams,2.0,3.3,14.1,1.3,2.6,7.0,0.498,0.001,21.4,1.6,3.7,2.3,19.7,43.6,0.276,1.4,8.3,29.8,18.3,2.2,17.8,14.1,0.541,22.0,39.3,73.5,0.13,13.0,C,1.0,0.0,0.0,0.0,0.0,0.0
14,14,3.5,0.402,8.7,0.0,0.0,0.1,1.9,0.2,3.3,3.5,0.402,8.7,1.8,0.741,2.5,523,,TOT,25.8,Don Adams,1.5,3.3,8.8,1.1,2.2,5.6,0.402,0.001,10.0,0.5,-1.8,0.9,13.8,14.5,0.283,-2.7,6.2,-2.8,10.7,2.1,16.7,10.6,0.451,16.9,0.3,11.7,0.042,14.0,SF,0.0,0.0,0.0,1.0,0.0,0.0
15,15,3.3,0.5,6.6,0.0,0.235,0.1,1.5,0.4,2.6,3.3,0.497,6.7,1.0,0.794,1.3,215,,ABA,18.2,George Adams,1.5,1.7,7.7,0.6,1.4,4.1,0.499,0.012,10.8,1.0,-0.9,-0.2,13.9,3.0,0.189,-0.8,7.4,3.6,14.0,1.3,15.8,10.6,0.53,17.9,0.8,6.6,0.081,15.0,SF,0.0,0.0,0.0,1.0,0.0,0.0
16,16,1.1,0.537,2.0,0.0,0.0,0.0,0.2,0.1,0.7,1.1,0.534,2.0,0.4,0.643,0.6,73,8.0,NBA,7.5,Hassan Adams,0.5,0.7,2.5,0.2,0.4,1.2,0.534,0.007,4.4,0.7,-4.4,-1.2,10.3,0.5,0.284,-3.2,7.8,0.3,11.8,1.7,13.5,9.1,0.556,16.4,-0.3,0.8,0.072,16.0,SG,0.0,0.0,0.0,0.0,1.0,0.0
17,17,3.5,0.462,7.6,1.5,0.332,4.4,6.4,0.1,2.3,5.0,0.415,12.0,3.3,0.849,3.9,653,510.0,NBA,31.3,Michael Adams,0.6,1.8,14.7,1.7,2.1,2.9,0.475,0.364,28.2,0.2,1.5,-1.2,8.1,15.3,0.324,2.7,2.1,31.6,16.6,2.5,13.5,5.0,0.536,20.2,18.0,46.9,0.11,17.0,PG,0.0,0.0,1.0,0.0,0.0,0.0
18,18,2.2,0.472,4.8,0.2,0.282,0.6,0.9,0.2,1.4,2.4,0.449,5.4,0.7,0.772,0.9,379,54.0,NBA,15.0,Rafael Addison,0.7,1.8,5.8,0.4,0.7,2.1,0.466,0.12,9.1,1.0,-4.1,-1.6,10.4,3.2,0.175,-2.5,5.2,1.7,10.5,1.3,11.4,7.8,0.496,18.7,-3.0,4.9,0.041,18.0,SF,0.0,0.0,0.0,1.0,0.0,0.0
19,19,3.0,0.415,7.2,,,,3.5,0.1,1.1,3.0,0.415,7.2,1.8,0.713,2.5,462,,NBA,22.6,Rick Adelman,0.4,2.1,7.7,0.9,,2.4,0.415,,20.0,0.3,-2.5,0.6,7.6,8.1,0.344,-3.1,2.5,1.9,11.3,2.8,,4.7,0.467,,-0.2,10.0,0.046,19.0,PG,0.0,0.0,1.0,0.0,0.0,0.0
20,20,1.7,0.476,3.6,0.0,0.0,0.0,0.7,0.5,2.9,1.7,0.474,3.6,1.2,0.628,1.9,153,17.0,NBA,14.0,Jeff Adrien,1.4,1.7,4.6,0.3,0.6,4.3,0.474,0.004,7.5,2.9,-2.5,-0.1,23.9,1.9,0.517,-2.4,11.5,2.5,15.0,1.2,11.7,17.5,0.518,16.3,-0.3,4.4,0.098,20.0,PF,0.0,1.0,0.0,0.0,0.0,0.0
21,21,0.6,0.366,1.8,0.1,0.25,0.5,0.2,0.1,0.5,0.8,0.339,2.3,0.4,0.566,0.6,82,4.0,NBA,6.2,Maurice Ager,0.1,0.8,2.1,0.1,0.4,0.6,0.368,0.233,6.1,0.9,-10.4,-3.2,8.8,0.3,0.28,-7.2,1.9,-1.3,2.8,0.6,12.0,5.4,0.398,22.1,-1.1,-0.9,-0.089,21.0,SG,0.0,0.0,0.0,0.0,1.0,0.0
22,22,7.4,0.5,14.7,0.4,0.312,1.4,3.1,0.3,3.1,7.8,0.484,16.1,4.0,0.741,5.4,923,639.0,NBA,30.0,Mark Aguirre,1.8,2.8,20.0,0.7,2.5,5.0,0.498,0.085,16.9,0.6,1.3,-1.4,11.6,21.3,0.333,2.6,6.9,46.5,19.0,1.2,11.9,9.2,0.542,29.1,22.7,67.8,0.117,22.0,SF,0.0,0.0,0.0,1.0,0.0,0.0
