,2P,2P%,2PA,3P,3P%,3PA,AST,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,Lg,MP,Name,ORB,PF,PTS,STL,TOV,TRB,eFG%,3PAr,AST%,BLK%,BPM,DBPM,DRB%,DWS,FTr,OBPM,ORB%,OWS,PER,STL%,TOV%,TRB%,TS%,USG%,VORP,WS,WS/48
0,2.4,.503,4.8,0.0,.000,0.0,0.3,0.3,2.2,2.4,.502,4.8,0.9,.701,1.3,256,53,NBA,12.5,Alaa Abdelnaby,1.1,1.9,5.7,0.3,1.0,3.3,.502,.002,4.1,1.4,-4.8,-1.5,19.6,4.1,.260,-3.3,10.0,0.7,13.0,1.1,15.2,14.8,.532,21.6,-2.3,4.8,.072
1,3.5,.428,8.2,,,,1.2,1.0,5.4,3.5,.428,8.2,2.0,.728,2.8,505,,NBA,21.8,Zaid Abdul-Aziz,2.4,2.2,9.0,0.6,0.9,8.0,.428,,7.3,2.5,-0.1,0.9,26.9,11.6,.338,-1.0,12.1,5.9,15.1,1.3,16.6,18.3,.479,21.1,2.1,17.5,.076
2,10.2,.560,18.1,0.0,.056,0.0,3.6,2.6,7.6,10.2,.559,18.1,4.3,.721,6.0,1560,625,NBA,36.8,Kareem Abdul-Jabbar,2.4,3.0,24.6,0.9,2.7,11.2,.559,.001,14.6,3.8,5.8,2.0,21.7,94.5,.329,3.8,7.7,178.9,24.6,1.2,13.4,15.7,.592,24.3,86.0,273.4,.228
3,5.2,.460,11.3,0.8,.354,2.3,3.5,0.1,1.5,6.0,.442,13.6,1.8,.905,2.0,586,336,NBA,26.7,Mahmoud Abdul-Rauf,0.4,1.9,14.6,0.8,1.6,1.9,.472,.169,23.0,0.2,-2.2,-3.0,6.2,8.4,.146,0.8,1.5,16.7,15.4,1.6,10.2,3.8,.506,25.4,-0.7,25.2,.077
4,3.0,.425,7.0,0.1,.237,0.3,1.1,0.4,2.1,3.1,.417,7.3,1.6,.703,2.2,236,145,NBA,20.4,Tariq Abdul-Wahad,1.2,2.1,7.8,0.8,1.3,3.3,.422,.044,8.8,1.2,-3.2,-0.3,11.2,4.1,.306,-2.9,6.4,-0.6,11.4,1.9,13.6,8.8,.467,20.4,-1.5,3.5,.035
5,6.4,.480,13.2,0.2,.297,0.6,2.5,0.8,5.3,6.5,.472,13.9,4.8,.810,6.0,830,704,NBA,34.8,Shareef Abdur-Rahim,2.3,2.8,18.1,1.0,2.6,7.5,.479,.045,13.6,1.6,0.9,-0.2,17.5,21.1,.429,1.1,7.5,50.1,19.0,1.5,13.5,12.5,.549,25.0,21.1,71.2,.118
6,2.3,.493,4.6,0.0,.000,0.0,1.2,0.2,2.0,2.3,.492,4.6,1.0,.747,1.4,319,,NBA,17.0,Tom Abernethy,1.2,1.6,5.6,0.6,0.5,3.2,.492,.001,9.0,0.6,-0.2,0.2,12.3,5.0,.301,-0.3,7.3,8.4,12.9,1.6,9.3,9.8,.534,13.7,2.5,13.4,.118
7,0.0,.000,2.0,,,,1.0,,,0.0,.000,2.0,0.0,,0.0,1,,NBA,1.0,Forest Able,,1.0,0.0,,,1.0,.000,,,,,,,0.0,.000,,,0.0,-41.1,,,,.000,,,0.0,-2.062
8,3.6,.237,15.3,,,,0.7,,,3.6,.237,15.3,2.3,.686,3.3,56,,BAA,,John Abramovic,,3.1,9.5,,,,.237,,,,,,,-0.5,.216,,,-1.4,,,,,.285,,,-1.9,
9,0.9,.388,2.2,0.3,.320,0.8,0.5,0.1,0.7,1.1,.370,3.1,0.2,.500,0.3,30,0,NBA,7.8,Alex Acker,0.3,0.4,2.7,0.2,0.4,1.0,.413,.272,11.3,1.3,-6.9,-2.3,10.2,0.1,.109,-4.6,4.3,-0.3,8.5,1.4,10.2,7.2,.420,21.2,-0.3,-0.2,-0.043
