,2P,2P%,2PA,3P,3P%,3PA,AST,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,Lg,MP,Name,ORB,PF,PTS,STL,TOV,TRB,eFG%
0,2.4,.503,4.8,0.0,.000,0.0,0.3,0.3,2.2,2.4,.502,4.8,0.9,.701,1.3,256,53,NBA,12.5,Alaa Abdelnaby,1.1,1.9,5.7,0.3,1.0,3.3,.502
1,3.5,.428,8.2,,,,1.2,1.0,5.4,3.5,.428,8.2,2.0,.728,2.8,505,,NBA,21.8,Zaid Abdul-Aziz,2.4,2.2,9.0,0.6,0.9,8.0,.428
2,10.2,.560,18.1,0.0,.056,0.0,3.6,2.6,7.6,10.2,.559,18.1,4.3,.721,6.0,1560,625,NBA,36.8,Kareem Abdul-Jabbar,2.4,3.0,24.6,0.9,2.7,11.2,.559
3,5.2,.460,11.3,0.8,.354,2.3,3.5,0.1,1.5,6.0,.442,13.6,1.8,.905,2.0,586,336,NBA,26.7,Mahmoud Abdul-Rauf,0.4,1.9,14.6,0.8,1.6,1.9,.472
4,3.0,.425,7.0,0.1,.237,0.3,1.1,0.4,2.1,3.1,.417,7.3,1.6,.703,2.2,236,145,NBA,20.4,Tariq Abdul-Wahad,1.2,2.1,7.8,0.8,1.3,3.3,.422
5,6.4,.480,13.2,0.2,.297,0.6,2.5,0.8,5.3,6.5,.472,13.9,4.8,.810,6.0,830,704,NBA,34.8,Shareef Abdur-Rahim,2.3,2.8,18.1,1.0,2.6,7.5,.479
6,2.3,.493,4.6,0.0,.000,0.0,1.2,0.2,2.0,2.3,.492,4.6,1.0,.747,1.4,319,,NBA,17.0,Tom Abernethy,1.2,1.6,5.6,0.6,0.5,3.2,.492
7,0.0,.000,2.0,,,,1.0,,,0.0,.000,2.0,0.0,,0.0,1,,NBA,1.0,Forest Able,,1.0,0.0,,,1.0,.000
8,3.6,.237,15.3,,,,0.7,,,3.6,.237,15.3,2.3,.686,3.3,56,,BAA,,John Abramovic,,3.1,9.5,,,,.237
9,0.9,.388,2.2,0.3,.320,0.8,0.5,0.1,0.7,1.1,.370,3.1,0.2,.500,0.3,30,0,NBA,7.8,Alex Acker,0.3,0.4,2.7,0.2,0.4,1.0,.413
10,0.5,.222,2.3,,,,0.8,,,0.5,.222,2.3,0.5,.536,1.0,28,,NBA,7.9,Don Ackerman,,1.5,1.5,,,0.5,.222
11,1.4,.505,2.7,0.0,.538,0.0,0.5,0.3,2.5,1.4,.506,2.7,0.8,.665,1.2,375,68,NBA,16.0,Mark Acres,1.5,2.5,3.6,0.4,0.6,4.1,.509
12,1.3,.392,3.2,,,,0.5,,,1.3,.392,3.2,0.8,.655,1.3,23,,NBA,8.5,Bud Acton,,1.5,3.3,,,2.0,.392
13,5.8,.498,11.6,0.0,.133,0.0,4.1,0.8,5.0,5.8,.498,11.6,2.5,.788,3.2,988,342,NBA,27.5,Alvan Adams,2.0,3.3,14.1,1.3,2.6,7.0,.498
14,3.5,.402,8.7,0.0,.000,0.1,1.9,0.2,3.3,3.5,.402,8.7,1.8,.741,2.5,523,,TOT,25.8,Don Adams,1.5,3.3,8.8,1.1,2.2,5.6,.402
15,3.3,.500,6.6,0.0,.235,0.1,1.5,0.4,2.6,3.3,.497,6.7,1.0,.794,1.3,215,,ABA,18.2,George Adams,1.5,1.7,7.7,0.6,1.4,4.1,.499
16,1.1,.537,2.0,0.0,.000,0.0,0.2,0.1,0.7,1.1,.534,2.0,0.4,.643,0.6,73,8,NBA,7.5,Hassan Adams,0.5,0.7,2.5,0.2,0.4,1.2,.534
17,3.5,.462,7.6,1.5,.332,4.4,6.4,0.1,2.3,5.0,.415,12.0,3.3,.849,3.9,653,510,NBA,31.3,Michael Adams,0.6,1.8,14.7,1.7,2.1,2.9,.475
18,2.2,.472,4.8,0.2,.282,0.6,0.9,0.2,1.4,2.4,.449,5.4,0.7,.772,0.9,379,54,NBA,15.0,Rafael Addison,0.7,1.8,5.8,0.4,0.7,2.1,.466
19,3.0,.415,7.2,,,,3.5,0.1,1.1,3.0,.415,7.2,1.8,.713,2.5,462,,NBA,22.6,Rick Adelman,0.4,2.1,7.7,0.9,,2.4,.415
20,1.7,.476,3.6,0.0,.000,0.0,0.7,0.5,2.9,1.7,.474,3.6,1.2,.628,1.9,153,17,NBA,14.0,Jeff Adrien,1.4,1.7,4.6,0.3,0.6,4.3,.474
21,0.6,.366,1.8,0.1,.250,0.5,0.2,0.1,0.5,0.8,.339,2.3,0.4,.566,0.6,82,4,NBA,6.2,Maurice Ager,0.1,0.8,2.1,0.1,0.4,0.6,.368
22,7.4,.500,14.7,0.4,.312,1.4,3.1,0.3,3.1,7.8,.484,16.1,4.0,.741,5.4,923,639,NBA,30.0,Mark Aguirre,1.8,2.8,20.0,0.7,2.5,5.0,.498
23,0.4,.233,1.6,0.7,.298,2.5,1.2,0.0,1.1,1.1,.273,4.1,1.7,.970,1.7,19,0,NBA,11.9,Blake Ahearn,0.1,1.4,4.6,0.4,1.2,1.2,.364
24,3.5,.502,7.0,1.0,.378,2.5,4.0,0.1,2.0,4.5,.469,9.5,1.6,.846,1.9,1042,508,NBA,26.6,Danny Ainge,0.7,2.4,11.5,1.1,1.5,2.7,.519
25,2.2,.408,5.4,0.0,.000,0.0,0.4,,,2.2,.405,5.5,1.2,.675,1.7,45,,ABA,14.2,Matthew Aitch,,1.5,5.6,,0.8,3.6,.405
26,1.5,.352,4.2,0.0,.000,1.0,0.5,,2.0,1.5,.350,4.2,0.5,.676,0.8,88,,TOT,8.4,Henry Akin,0.0,1.5,3.5,,2.0,2.1,.350
27,3.1,.490,6.3,0.1,.252,0.4,1.1,0.3,2.1,3.2,.475,6.7,1.0,.775,1.3,325,41,NBA,16.9,Mark Alarie,1.3,2.2,7.5,0.4,1.0,3.4,.483
28,1.3,.293,4.5,,,,0.3,,,1.3,.293,4.5,0.7,.598,1.2,78,,NBA,10.8,Gary Alcorn,,2.2,3.3,,,4.2,.293
29,2.2,.479,4.5,0.0,.000,0.0,0.5,0.2,2.5,2.2,.478,4.6,0.7,.733,1.0,74,4,NBA,15.1,Chuck Aleksinas,1.2,2.3,5.1,0.2,1.0,3.6,.478
30,1.1,.417,2.7,0.8,.354,2.2,2.7,0.1,1.3,1.9,.389,4.9,0.9,.756,1.1,307,35,NBA,15.8,Cory Alexander,0.3,1.7,5.5,0.9,1.5,1.6,.468
31,3.3,.429,7.7,0.2,.339,0.6,1.2,0.1,1.5,3.5,.422,8.3,1.8,.813,2.2,187,59,NBA,21.7,Courtney Alexander,0.7,2.0,9.0,0.6,1.1,2.2,.435
32,0.7,.571,1.3,0.0,,0.0,0.2,0.0,0.7,0.7,.571,1.3,0.3,.333,0.8,11,0,NBA,5.0,Gary Alexander,0.6,0.9,1.7,0.3,0.7,1.4,.571
33,1.3,.426,3.0,0.2,.340,0.7,0.7,0.4,1.1,1.5,.410,3.7,0.9,.698,1.3,67,0,NBA,11.1,Joe Alexander,0.7,1.7,4.2,0.2,0.8,1.8,.442
34,3.8,.525,7.2,0.1,.286,0.2,0.9,0.6,3.3,3.8,.518,7.4,1.1,.634,1.8,286,155,NBA,20.1,Victor Alexander,1.6,2.5,8.9,0.5,1.3,4.8,.522
35,1.5,.487,3.1,0.2,.324,0.6,1.0,0.1,0.7,1.7,.459,3.8,0.8,.870,0.9,169,3,NBA,9.7,Steve Alford,0.1,0.7,4.4,0.5,0.5,0.9,.487
36,3.1,.424,7.3,0.1,1.000,0.1,0.6,,,3.2,.429,7.4,1.5,.586,2.6,38,,ABA,22.6,Bill Allen,,3.2,7.9,,1.0,7.1,.432
37,0.5,.326,1.6,,,,0.4,,,0.5,.326,1.6,0.7,.556,1.3,27,,NBA,8.6,Bob Allen,,1.0,1.8,,,2.1,.326
38,0.6,.370,1.7,0.3,.317,1.1,1.7,0.1,0.8,1.0,.350,2.8,0.6,.630,0.9,117,1,NBA,11.2,Jerome Allen,0.3,1.1,2.9,0.4,0.9,1.1,.411
39,5.5,.463,11.9,,,,4.5,0.3,2.3,5.5,.463,11.9,2.3,.760,3.1,702,,NBA,28.7,Lucius Allen,1.0,2.6,13.4,1.5,2.3,3.1,.463
40,2.2,.441,4.9,0.0,.188,0.0,0.5,0.5,1.9,2.2,.439,4.9,0.5,.778,0.7,478,125,NBA,15.2,Malik Allen,1.0,1.9,4.9,0.3,0.7,2.8,.440
41,1.6,.456,3.6,0.0,.000,0.1,0.3,0.3,1.3,1.6,.442,3.7,0.3,.533,0.6,70,6,NBA,11.3,Randy Allen,0.7,1.6,3.6,0.2,0.4,2.1,.442
42,4.3,.485,8.9,2.3,.400,5.7,3.4,0.2,3.1,6.6,.452,14.6,3.4,.894,3.8,1300,1149,NBA,35.6,Ray Allen,0.9,2.2,18.9,1.1,2.1,4.1,.530
43,0.6,.308,1.9,0.0,,0.0,0.6,,1.4,0.6,.308,1.9,0.7,.833,0.9,7,,ABA,4.3,Willie Allen,0.6,1.6,1.9,,0.9,2.0,.308
44,0.5,.218,2.2,,,,0.3,,,0.5,.218,2.2,0.9,.541,1.7,36,,NBA,4.6,Odis Allison,,0.9,1.9,,,1.3,.218
45,0.3,.250,1.3,0.0,,0.0,0.0,0.0,0.3,0.3,.250,1.3,0.3,.500,0.7,3,0,NBA,3.3,Lance Allred,0.0,0.3,1.0,0.0,0.0,0.3,.250
46,1.0,.348,3.0,0.0,.000,0.0,1.1,0.4,2.1,1.0,.343,3.0,0.6,.591,1.0,22,,NBA,12.5,Darrell Allums,0.9,2.3,2.7,0.2,1.0,3.0,.343
47,0.9,.404,2.3,0.2,.292,0.6,0.3,0.1,0.9,1.1,.381,3.0,0.7,.743,0.9,38,1,NBA,9.5,Morris Almond,0.3,1.1,3.1,0.3,0.5,1.2,.412
48,2.3,.493,4.6,0.0,.143,0.1,0.7,0.6,2.1,2.3,.489,4.7,0.8,.487,1.7,139,42,NBA,19.1,Derrick Alston,1.6,2.1,5.4,0.7,0.8,3.8,.490
49,2.2,.407,5.3,1.5,.354,4.2,4.8,0.2,2.5,3.7,.383,9.5,1.3,.729,1.8,671,452,NBA,28.9,Rafer Alston,0.4,2.1,10.1,1.2,1.8,2.8,.461
50,0.5,.500,1.0,0.0,,0.0,0.0,0.5,0.5,0.5,.500,1.0,0.0,,0.0,2,0,NBA,2.5,Peter Aluma,0.5,2.0,1.0,0.5,1.0,1.0,.500
51,2.3,.405,5.6,0.0,.077,0.0,0.8,0.3,1.8,2.3,.403,5.6,1.7,.671,2.6,294,93,NBA,16.4,John Amaechi,0.8,1.7,6.2,0.3,1.3,2.6,.403
52,1.6,.455,3.4,0.0,.500,0.0,0.4,0.2,2.6,1.6,.455,3.4,1.3,.633,2.1,85,34,NBA,14.7,Ashraf Amaya,1.6,2.1,4.5,0.3,0.8,4.2,.457
53,1.7,.385,4.3,,,,0.9,,,1.7,.385,4.3,0.7,.548,1.3,33,,NBA,11.3,Bob Anderegg,,1.0,4.0,,,2.1,.385
54,1.6,.467,3.5,0.3,.347,1.0,0.6,0.2,2.1,2.0,.440,4.5,0.6,.674,0.9,103,0,NBA,12.3,David Andersen,0.7,1.5,4.9,0.2,0.6,2.8,.478
55,4.1,.418,9.8,0.1,.159,0.3,1.7,,1.4,4.1,.410,10.1,2.4,.755,3.2,194,,ABA,24.7,Andrew Anderson,1.6,2.4,10.7,,1.6,2.7,.413
56,1.0,.333,3.0,0.0,,0.0,0.0,0.0,0.0,1.0,.333,3.0,0.0,,0.0,1,0,NBA,15.0,Antonio Anderson,1.0,1.0,2.0,0.0,1.0,1.0,.333
57,0.9,.354,2.5,0.0,,0.0,0.9,,1.0,0.9,.354,2.5,1.3,.585,2.2,84,,TOT,7.2,Cliff Anderson,0.3,1.3,3.0,,1.0,1.3,.354
58,4.9,.481,10.2,0.0,,0.0,1.1,,5.9,4.9,.481,10.2,2.4,.727,3.4,140,,ABA,28.8,Dan Anderson,3.5,3.6,12.2,,1.5,9.4,.481
59,1.4,.472,3.0,,,,1.7,0.0,0.7,1.4,.472,3.0,0.8,.846,1.0,95,,NBA,11.2,Dan Anderson,0.2,1.1,3.7,0.4,,1.0,.472
60,2.9,.440,6.6,1.0,.341,3.1,3.4,0.1,2.5,3.9,.408,9.6,3.0,.853,3.6,615,390,NBA,29.2,Derek Anderson,0.7,2.0,12.0,1.1,1.7,3.2,.463
61,1.4,.500,2.8,0.0,,0.0,0.6,0.0,0.4,1.4,.500,2.8,1.4,.700,2.0,5,0,NBA,6.6,Dwight Anderson,0.0,1.4,4.2,0.2,1.0,0.4,.500
62,0.4,.303,1.2,0.1,1.000,0.1,0.2,0.1,0.7,0.4,.343,1.3,0.6,.593,1.0,27,0,NBA,3.1,Eric Anderson,0.4,0.9,1.6,0.1,0.3,1.1,.371
63,3.0,.494,6.0,0.0,.087,0.0,0.6,0.9,4.1,3.0,.492,6.0,1.4,.557,2.5,680,315,NBA,20.6,Greg Anderson,2.1,2.6,7.3,0.7,1.4,6.2,.492
64,1.9,.471,4.1,0.0,.000,0.1,0.7,0.2,1.6,1.9,.465,4.2,0.9,.558,1.6,157,2,NBA,12.5,J.J. Anderson,1.2,1.6,4.8,0.7,0.8,2.8,.465
65,1.0,.490,2.1,,,,0.3,0.1,0.2,1.0,.490,2.1,0.5,.694,0.7,49,,NBA,5.9,Jerome Anderson,0.3,1.0,2.6,0.2,,0.5,.490
66,4.0,.436,9.2,0.6,.346,1.8,6.1,0.1,2.3,4.7,.421,11.1,2.6,.790,3.3,858,693,NBA,30.1,Kenny Anderson,0.8,2.3,12.6,1.5,2.1,3.1,.449
67,1.1,.312,3.7,,,,0.7,0.2,1.3,1.1,.312,3.7,0.7,.536,1.3,21,,NBA,10.7,Kim Anderson,0.8,2.0,3.0,0.2,1.0,2.1,.312
68,2.0,.429,4.7,0.0,.143,0.2,4.3,0.1,1.3,2.0,.417,4.9,1.6,.695,2.3,36,12,NBA,20.3,Michael Anderson,1.2,1.8,5.7,1.2,2.3,2.5,.420
