,2P,2P%,2PA,3P,3P%,3PA,AST,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,Lg,MP,Name,ORB,PF,PTS,STL,TOV,TRB,eFG%
0,[u'2.4'],[u'.503'],[u'4.8'],[u'0.0'],[u'.000'],[u'0.0'],[u'0.3'],[u'0.3'],[u'2.2'],[u'2.4'],[u'.502'],[u'4.8'],[u'0.9'],[u'.701'],[u'1.3'],[u'256'],[u'53'],[u'NBA'],[u'12.5'],Alaa Abdelnaby,[u'1.1'],[u'1.9'],[u'5.7'],[u'0.3'],[u'1.0'],[u'3.3'],[u'.502']
1,[u'3.5'],[u'.428'],[u'8.2'],[],[],[],[u'1.2'],[u'1.0'],[u'5.4'],[u'3.5'],[u'.428'],[u'8.2'],[u'2.0'],[u'.728'],[u'2.8'],[u'505'],[],[u'NBA'],[u'21.8'],Zaid Abdul-Aziz,[u'2.4'],[u'2.2'],[u'9.0'],[u'0.6'],[u'0.9'],[u'8.0'],[u'.428']
2,[u'10.2'],[u'.560'],[u'18.1'],[u'0.0'],[u'.056'],[u'0.0'],[u'3.6'],[u'2.6'],[u'7.6'],[u'10.2'],[u'.559'],[u'18.1'],[u'4.3'],[u'.721'],[u'6.0'],[u'1560'],[u'625'],[u'NBA'],[u'36.8'],Kareem Abdul-Jabbar,[u'2.4'],[u'3.0'],[u'24.6'],[u'0.9'],[u'2.7'],[u'11.2'],[u'.559']
3,[u'5.2'],[u'.460'],[u'11.3'],[u'0.8'],[u'.354'],[u'2.3'],[u'3.5'],[u'0.1'],[u'1.5'],[u'6.0'],[u'.442'],[u'13.6'],[u'1.8'],[u'.905'],[u'2.0'],[u'586'],[u'336'],[u'NBA'],[u'26.7'],Mahmoud Abdul-Rauf,[u'0.4'],[u'1.9'],[u'14.6'],[u'0.8'],[u'1.6'],[u'1.9'],[u'.472']
4,[u'3.0'],[u'.425'],[u'7.0'],[u'0.1'],[u'.237'],[u'0.3'],[u'1.1'],[u'0.4'],[u'2.1'],[u'3.1'],[u'.417'],[u'7.3'],[u'1.6'],[u'.703'],[u'2.2'],[u'236'],[u'145'],[u'NBA'],[u'20.4'],Tariq Abdul-Wahad,[u'1.2'],[u'2.1'],[u'7.8'],[u'0.8'],[u'1.3'],[u'3.3'],[u'.422']
5,[u'6.4'],[u'.480'],[u'13.2'],[u'0.2'],[u'.297'],[u'0.6'],[u'2.5'],[u'0.8'],[u'5.3'],[u'6.5'],[u'.472'],[u'13.9'],[u'4.8'],[u'.810'],[u'6.0'],[u'830'],[u'704'],[u'NBA'],[u'34.8'],Shareef Abdur-Rahim,[u'2.3'],[u'2.8'],[u'18.1'],[u'1.0'],[u'2.6'],[u'7.5'],[u'.479']
6,[u'2.3'],[u'.493'],[u'4.6'],[u'0.0'],[u'.000'],[u'0.0'],[u'1.2'],[u'0.2'],[u'2.0'],[u'2.3'],[u'.492'],[u'4.6'],[u'1.0'],[u'.747'],[u'1.4'],[u'319'],[],[u'NBA'],[u'17.0'],Tom Abernethy,[u'1.2'],[u'1.6'],[u'5.6'],[u'0.6'],[u'0.5'],[u'3.2'],[u'.492']
7,[u'0.0'],[u'.000'],[u'2.0'],[],[],[],[u'1.0'],[],[],[u'0.0'],[u'.000'],[u'2.0'],[u'0.0'],[],[u'0.0'],[u'1'],[],[u'NBA'],[u'1.0'],Forest Able,[],[u'1.0'],[u'0.0'],[],[],[u'1.0'],[u'.000']
8,[u'3.6'],[u'.237'],[u'15.3'],[],[],[],[u'0.7'],[],[],[u'3.6'],[u'.237'],[u'15.3'],[u'2.3'],[u'.686'],[u'3.3'],[u'56'],[],[u'BAA'],[],John Abramovic,[],[u'3.1'],[u'9.5'],[],[],[],[u'.237']
9,[u'0.9'],[u'.388'],[u'2.2'],[u'0.3'],[u'.320'],[u'0.8'],[u'0.5'],[u'0.1'],[u'0.7'],[u'1.1'],[u'.370'],[u'3.1'],[u'0.2'],[u'.500'],[u'0.3'],[u'30'],[u'0'],[u'NBA'],[u'7.8'],Alex Acker,[u'0.3'],[u'0.4'],[u'2.7'],[u'0.2'],[u'0.4'],[u'1.0'],[u'.413']
