,3PAr,AST%,BLK%,BPM,DBPM,DRB%,DWS,FTr,Name,OBPM,ORB%,OWS,PER,STL%,TOV%,TRB%,TS%,USG%,VORP,WS,WS/48
0,.002,4.1,1.4,-4.8,-1.5,19.6,4.1,.260,Alaa Abdelnaby,-3.3,10.0,0.7,13.0,1.1,15.2,14.8,.532,21.6,-2.3,4.8,.072
1,,7.3,2.5,-0.1,0.9,26.9,11.6,.338,Zaid Abdul-Aziz,-1.0,12.1,5.9,15.1,1.3,16.6,18.3,.479,21.1,2.1,17.5,.076
2,.001,14.6,3.8,5.8,2.0,21.7,94.5,.329,Kareem Abdul-Jabbar,3.8,7.7,178.9,24.6,1.2,13.4,15.7,.592,24.3,86.0,273.4,.228
3,.169,23.0,0.2,-2.2,-3.0,6.2,8.4,.146,Mahmoud Abdul-Rauf,0.8,1.5,16.7,15.4,1.6,10.2,3.8,.506,25.4,-0.7,25.2,.077
4,.044,8.8,1.2,-3.2,-0.3,11.2,4.1,.306,Tariq Abdul-Wahad,-2.9,6.4,-0.6,11.4,1.9,13.6,8.8,.467,20.4,-1.5,3.5,.035
5,.045,13.6,1.6,0.9,-0.2,17.5,21.1,.429,Shareef Abdur-Rahim,1.1,7.5,50.1,19.0,1.5,13.5,12.5,.549,25.0,21.1,71.2,.118
6,.001,9.0,0.6,-0.2,0.2,12.3,5.0,.301,Tom Abernethy,-0.3,7.3,8.4,12.9,1.6,9.3,9.8,.534,13.7,2.5,13.4,.118
7,,,,,,,0.0,.000,Forest Able,,,0.0,-41.1,,,,.000,,,0.0,-2.062
8,,,,,,,-0.5,.216,John Abramovic,,,-1.4,,,,,.285,,,-1.9,
9,.272,11.3,1.3,-6.9,-2.3,10.2,0.1,.109,Alex Acker,-4.6,4.3,-0.3,8.5,1.4,10.2,7.2,.420,21.2,-0.3,-0.2,-0.043
10,,,,,,,0.1,.444,Don Ackerman,,,-0.7,1.0,,,,.285,,,-0.6,-0.123
11,.013,3.8,1.0,-2.0,0.0,17.6,4.2,.456,Mark Acres,-2.0,10.7,5.1,9.0,1.1,16.2,14.1,.551,10.0,0.0,9.3,.075
12,,7.5,,,,,0.2,.392,Bud Acton,,,-0.1,9.5,,,,.444,,,0.1,.021
13,.001,21.4,1.6,3.7,2.3,19.7,43.6,.276,Alvan Adams,1.4,8.3,29.8,18.3,2.2,17.8,14.1,.541,22.0,39.3,73.5,.130
14,.001,10.0,0.5,-1.8,0.9,13.8,14.5,.283,Don Adams,-2.7,6.2,-2.8,10.7,2.1,16.7,10.6,.451,16.9,0.3,11.7,.042
15,.012,10.8,1.0,-0.9,-0.2,13.9,3.0,.189,George Adams,-0.8,7.4,3.6,14.0,1.3,15.8,10.6,.530,17.9,0.8,6.6,.081
16,.007,4.4,0.7,-4.4,-1.2,10.3,0.5,.284,Hassan Adams,-3.2,7.8,0.3,11.8,1.7,13.5,9.1,.556,16.4,-0.3,0.8,.072
17,.364,28.2,0.2,1.5,-1.2,8.1,15.3,.324,Michael Adams,2.7,2.1,31.6,16.6,2.5,13.5,5.0,.536,20.2,18.0,46.9,.110
18,.120,9.1,1.0,-4.1,-1.6,10.4,3.2,.175,Rafael Addison,-2.5,5.2,1.7,10.5,1.3,11.4,7.8,.496,18.7,-3.0,4.9,.041
19,,20.0,0.3,-2.5,0.6,7.6,8.1,.344,Rick Adelman,-3.1,2.5,1.9,11.3,2.8,,4.7,.467,,-0.2,10.0,.046
20,.004,7.5,2.9,-2.5,-0.1,23.9,1.9,.517,Jeff Adrien,-2.4,11.5,2.5,15.0,1.2,11.7,17.5,.518,16.3,-0.3,4.4,.098
21,.233,6.1,0.9,-10.4,-3.2,8.8,0.3,.280,Maurice Ager,-7.2,1.9,-1.3,2.8,0.6,12.0,5.4,.398,22.1,-1.1,-0.9,-0.089
22,.085,16.9,0.6,1.3,-1.4,11.6,21.3,.333,Mark Aguirre,2.6,6.9,46.5,19.0,1.2,11.9,9.2,.542,29.1,22.7,67.8,.117
23,.610,15.5,0.0,-6.6,-3.1,11.2,0.1,.429,Blake Ahearn,-3.5,0.5,-0.3,7.2,1.7,19.4,5.8,.481,23.6,-0.3,-0.2,-0.034
24,.268,20.8,0.3,1.3,-0.7,8.1,25.9,.200,Danny Ainge,2.0,2.9,45.7,14.7,2.0,12.7,5.6,.555,18.5,23.0,71.5,.124
25,.008,4.1,,,,,0.5,.312,Matthew Aitch,,,0.0,11.9,,11.6,11.3,.449,18.6,,0.5,.040
